"OP","OP_DESC","OP_C"
64.2,"LOCAL EXCIS PENILE LES                        ",64.2
64.3,"AMPUTATION OF PENIS                           ",64.3
64.41,"SUTURE PENILE LACERATION                      ",64.41
64.42,"RELEASE OF CHORDEE                            ",64.42
64.43,"CONSTRUCTION OF PENIS                         ",64.43
64.44,"RECONSTRUCTION OF PENIS                       ",64.44
64.45,"REPLANTATION OF PENIS                         ",64.45
64.49,"PENILE REPAIR NEC                             ",64.49
64.5,"SEX TRANSFORMAT OP NEC                        ",64.5
64.91,"DORSAL/LAT SLIT PREPUCE                       ",64.91
64.92,"INCISION OF PENIS                             ",64.92
64.93,"DIVISION OF PENILE ADHES                      ",64.93
64.94,"FIT EXT PENILE PROSTHES                       ",64.94
64.95,"INSRT INT PENIS PROS NOS                      ",64.95
64.96,"REMOVE INT PENILE PROSTH                      ",64.96
64.97,"INSRT INFLTBL PENIS PROS                      ",64.97
64.98,"PENILE OPERATION NEC                          ",64.98
64.99,"MALE GENITAL OP NEC                           ",64.99
65,"OOPHOROTOMY                                   ",65
65.11,"OVARIAN ASPIRAT BIOPSY                        ",65.11
65.12,"OVARIAN BIOPSY NEC                            ",65.12
65.19,"OVARIAN DX PROCEDURE NEC                      ",65.19
65.21,"OVARIAN CYST MARSUPIALIZ                      ",65.21
65.22,"OVARIAN WEDGE RESECTION                       ",65.22
65.29,"LOCAL DESTR OVA LES NEC                       ",65.29
65.3,"UNILATERAL OOPHORECTOMY                       ",65.3
65.4,"UNILAT SALPINGO-OOPHOREC                      ",65.4
65.51,"REMOVE BOTH OVARIES                           ",65.51
65.52,"REMOVE SOLITARY OVARY                         ",65.52
65.61,"REMOVE BOTH TUBES & OVAR                      ",65.61
65.62,"REMOVE SOLITARY TUBE/OVA                      ",65.62
65.71,"SIMPLE SUTURE OF OVARY                        ",65.71
65.72,"OVARIAN REIMPLANTATION                        ",65.72
65.73,"SALPINGO-OOPHOROPLASTY                        ",65.73
65.79,"REPAIR OF OVARY NEC                           ",65.79
65.8,"TUBO-OVARIAN ADHESIOLYS                       ",65.8
65.91,"ASPIRATION OF OVARY                           ",65.91
65.92,"TRANSPLANTATION OF OVARY                      ",65.92
65.93,"MANUAL RUPT OVARIAN CYST                      ",65.93
65.94,"OVARIAN DENERVATION                           ",65.94
65.95,"OVARIAN TORSION RELEASE                       ",65.95
65.99,"OVARIAN OPERATION NEC                         ",65.99
66.01,"SALPINGOTOMY                                  ",66.01
66.02,"SALPINGOSTOMY                                 ",66.02
66.11,"FALLOPIAN TUBE BIOPSY                         ",66.11
66.19,"FALLOP TUBE DX PROC NEC                       ",66.19
66.21,"BILAT ENDOSC CRUSH TUBE                       ",66.21
66.22,"BILAT ENDOSC DIVIS TUBE                       ",66.22
66.29,"BILAT ENDOS OCC TUBE NEC                      ",66.29
66.31,"BILAT TUBAL CRUSHING NEC                      ",66.31
66.32,"BILAT TUBAL DIVISION NEC                      ",66.32
66.39,"BILAT TUBAL DESTRUCT NEC                      ",66.39
66.4,"TOTAL UNILAT SALPINGECT                       ",66.4
66.51,"REMOVE BOTH FALLOP TUBES                      ",66.51
66.52,"REMOVE SOLITARY FAL TUBE                      ",66.52
66.61,"DESTROY FALLOP TUBE LES                       ",66.61
66.62,"REMOV TUBE & ECTOP PREG                       ",66.62
66.63,"BILAT PART SALPINGEC NOS                      ",66.63
66.69,"PARTIAL SALPINGECTOM NEC                      ",66.69
66.71,"SIMPL SUTURE FALLOP TUBE                      ",66.71
66.72,"SALPINGO-OOPHOROSTOMY                         ",66.72
66.73,"SALPINGO-SALPINGOSTOMY                        ",66.73
66.74,"SALPINGO-UTEROSTOMY                           ",66.74
66.79,"FALLOP TUBE REPAIR NEC                        ",66.79
66.8,"FALLOPIAN TUBE INSUFFLAT                      ",66.8
66.91,"FALLOPIAN TUBE ASPIRAT                        ",66.91
66.92,"UNILAT FALLOP TUBE DESTR                      ",66.92
66.93,"IMPL FALLOP TUBE PROSTH                       ",66.93
66.94,"REMOV FALLOP TUBE PROSTH                      ",66.94
66.95,"BLOW THERAPEUT INTO TUBE                      ",66.95
66.96,"FALLOPIAN TUBE DILATION                       ",66.96
66.97,"BURY FIMBRIAE IN UTERUS                       ",66.97
66.99,"FALLOPIAN TUBE OP NEC                         ",66.99
67,"CERVICAL CANAL DILATION                       ",67
67.11,"ENDOCERVICAL BIOPSY                           ",67.11
67.12,"CERVICAL BIOPSY NEC                           ",67.12
67.19,"CERVICAL DX PROCEDUR NEC                      ",67.19
67.2,"CONIZATION OF CERVIX                          ",67.2
67.31,"CERVICAL CYST MARSUPIAL                       ",67.31
67.32,"CERVICAL LES CAUTERIZAT                       ",67.32
67.33,"CERVICAL LES CRYOTHERAPY                      ",67.33
67.39,"CERVICAL LES DESTRUC NEC                      ",67.39
67.4,"AMPUTATION OF CERVIX                          ",67.4
67.5,"INT CERVICAL OS REPAIR                        ",67.5
67.61,"SUTURE CERVICAL LACERAT                       ",67.61
67.62,"CERVICAL FISTULA REPAIR                       ",67.62
67.69,"CERVICAL REPAIR NEC                           ",67.69
68,"HYSTEROTOMY                                   ",68
68.11,"DIGITAL EXAM OF UTERUS                        ",68.11
68.12,"HYSTEROSCOPY                                  ",68.12
68.13,"OPEN BIOPSY OF UTERUS                         ",68.13
68.14,"OPEN UTERINE LIGAMENT BX                      ",68.14
68.15,"ENDOSCOPIC UTERIN LIG BX                      ",68.15
68.16,"ENDOSCOPIC UTERIN BX                          ",68.16
68.19,"UTERUS/ADNEX DX PROC NEC                      ",68.19
68.21,"ENDOMET SYNECHIAE DIVIS                       ",68.21
68.22,"INCISION UTERINE SEPTUM                       ",68.22
68.29,"UTERINE LES DESTRUCT NEC                      ",68.29
68.3,"SUBTOT ABD HYSTERECTOMY                       ",68.3
68.4,"TOTAL ABD HYSTERECTOMY                        ",68.4
68.5,"VAGINAL HYSTERECTOMY                          ",68.5
68.6,"RADICAL ABD HYSTERECTOMY                      ",68.6
68.7,"RADICAL VAG HYSTERECTOMY                      ",68.7
68.8,"PELVIC EVISCERATION                           ",68.8
68.9,"HYSTERECTOMY NEC AND NOS                      ",68.9
69.01,"D & C FOR PREG TERMINAT                       ",69.01
69.02,"D & C POST DELIVERY                           ",69.02
69.09,"D & C NEC                                     ",69.09
69.19,"DESTRUC UTER SUPPORT NEC                      ",69.19
69.21,"INTERPOSIT OP UTERIN LIG                      ",69.21
69.22,"UTERINE SUSPENSION NEC                        ",69.22
69.23,"VAG REPAIR INVERS UTERUS                      ",69.23
69.29,"UTERUS/ADNEXA REPAIR NEC                      ",69.29
69.3,"PARACERV UTERINE DENERV                       ",69.3
69.41,"SUTURE UTERINE LACERAT                        ",69.41
69.42,"CLOSURE UTERINE FISTULA                       ",69.42
69.49,"UTERINE REPAIR NEC                            ",69.49
69.51,"ASPIRAT CURET-PREG TERMI                      ",69.51
69.52,"ASPIRAT CURET-POST DELIV                      ",69.52
69.59,"ASPIR CURETT UTERUS NEC                       ",69.59
69.6,"MENSTRUAL EXTRACTION                          ",69.6
69.7,"INSERTION OF IUD                              ",69.7
69.91,"INSERT UTERINE DEVICE                         ",69.91
69.92,"ARTIFICIAL INSEMINATION                       ",69.92
69.93,"INSERTION OF LAMINARIA                        ",69.93
69.94,"MAN REPLACE INVERT UTER                       ",69.94
69.95,"INCISION OF CERVIX                            ",69.95
69.96,"REMOVE CERVICAL CERCLAGE                      ",69.96
69.97,"REMOVE PENETRAT CERV FB                       ",69.97
69.98,"UTERINE SUPPORT OP NEC                        ",69.98
69.99,"UTERINE OPERATION NEC                         ",69.99
70,"CULDOCENTESIS                                 ",70
70.11,"HYMENOTOMY                                    ",70.11
70.12,"CULDOTOMY                                     ",70.12
70.13,"INTRALUM VAG ADHESIOLYS                       ",70.13
70.14,"VAGINOTOMY NEC                                ",70.14
70.21,"VAGINOSCOPY                                   ",70.21
70.22,"CULDOSCOPY                                    ",70.22
70.23,"CUL-DE-SAC BIOPSY                             ",70.23
70.24,"VAGINAL BIOPSY                                ",70.24
70.29,"VAGIN/CUL-DE-SAC DX NEC                       ",70.29
70.31,"HYMENECTOMY                                   ",70.31
70.32,"EXCIS CUL-DE-SAC LESION                       ",70.32
70.33,"EXCISION VAGINAL LESION                       ",70.33
70.4,"VAGINAL OBLITERATION                          ",70.4
70.5,"CYSTOCEL/RECTOCEL REPAIR                      ",70.5
70.51,"CYSTOCELE REPAIR                              ",70.51
70.52,"RECTOCELE REPAIR                              ",70.52
70.61,"VAGINAL CONSTRUCTION                          ",70.61
70.62,"VAGINAL RECONSTRUCTION                        ",70.62
70.71,"SUTURE VAGINA LACERATION                      ",70.71
70.72,"REPAIR COLOVAGIN FISTULA                      ",70.72
70.73,"REPAIR RECTOVAG FISTULA                       ",70.73
70.74,"REP VAGINOENT FISTUL NEC                      ",70.74
70.75,"REPAIR VAG FISTULA NEC                        ",70.75
70.76,"HYMENORRHAPHY                                 ",70.76
70.77,"VAGINAL SUSPENS & FIXAT                       ",70.77
70.79,"VAGINAL REPAIR NEC                            ",70.79
70.8,"VAGINAL VAULT OBLITERAT                       ",70.8
70.91,"VAGINAL OPERATION NEC                         ",70.91
70.92,"CUL-DE-SAC OPERATION NEC                      ",70.92
71.01,"VULVAR ADHESIOLYSIS                           ",71.01
71.09,"INCIS VULVA/PERINEUM NEC                      ",71.09
71.11,"VULVAR BIOPSY                                 ",71.11
71.19,"VULVAR DIAGNOS PROC NEC                       ",71.19
71.21,"PERCUTAN BARTHOLIN ASPIR                      ",71.21
71.22,"INCISE BARTHOLIN'S GLAND                      ",71.22
71.23,"BARTHOLIN GLAND MARSUP                        ",71.23
71.24,"DESTRUC BARTHOLIN GLAND                       ",71.24
71.29,"BARTHOLIN'S GLAND OP NEC                      ",71.29
71.3,"LOCAL VULVAR EXCIS NEC                        ",71.3
71.4,"OPERATIONS ON CLITORIS                        ",71.4
71.5,"RADICAL VULVECTOMY                            ",71.5
71.61,"UNILATERAL VULVECTOMY                         ",71.61
71.62,"BILATERAL VULVECTOMY                          ",71.62
71.71,"SUTURE VULVAR LACERATION                      ",71.71
71.72,"REPAIR VULVAR FISTULA                         ",71.72
71.79,"VULVAR/PERIN REPAIR NEC                       ",71.79
71.8,"OTHER VULVAR OPERATIONS                       ",71.8
71.9,"OTHER FEMALE GENITAL OPS                      ",71.9
72,"LOW FORCEPS OPERATION                         ",72
72.1,"LOW FORCEPS W EPISIOTOMY                      ",72.1
72.21,"MID FORCEPS W EPISIOTOMY                      ",72.21
72.29,"MID FORCEPS OP NEC                            ",72.29
72.31,"HIGH FORCEPS W EPISIOT                        ",72.31
72.39,"HIGH FORCEPS OP NEC                           ",72.39
72.4,"FORCEPS ROTAT FETAL HEAD                      ",72.4
72.51,"PART BRCH EXTRAC W FORCP                      ",72.51
72.52,"PART BREECH EXTRACT NEC                       ",72.52
72.53,"TOT BRCH EXTRAC W FORCEP                      ",72.53
72.54,"TOT BREECH EXTRAC NEC                         ",72.54
72.6,"FORCEPS-AFTERCOMING HEAD                      ",72.6
72.71,"VACUUM EXT DEL W EPISIOT                      ",72.71
72.79,"VACUUM EXTRACT DEL NEC                        ",72.79
72.8,"INSTRUMENT DELIVERY NEC                       ",72.8
72.9,"INSTRUMENT DELIVERY NOS                       ",72.9
73.01,"INDUCT LABOR-RUPT MEMB                        ",73.01
73.09,"ARTIF RUPT MEMBRANES NEC                      ",73.09
73.1,"SURG INDUCT LABOR NEC                         ",73.1
73.21,"INT/COMB VERSION NO EXTR                      ",73.21
73.22,"INT/COMB VERSION W EXTR                       ",73.22
73.3,"FAILED FORCEPS                                ",73.3
73.4,"MEDICAL INDUCTION LABOR                       ",73.4
73.51,"MANUAL ROTAT FETAL HEAD                       ",73.51
73.59,"MANUAL ASSIST DELIV NEC                       ",73.59
73.6,"EPISIOTOMY                                    ",73.6
73.8,"FETAL OPS-FACILITATE DEL                      ",73.8
73.91,"EXT VERSION-ASSIST DELIV                      ",73.91
73.92,"REPLACE PROLAPSED CORD                        ",73.92
73.93,"INCIS CX TO ASSIST DELIV                      ",73.93
73.94,"PUBIOTOMY TO ASSIST DEL                       ",73.94
73.99,"OPS ASSISTING DELIV NEC                       ",73.99
74,"CLASSICAL C-SECTION                           ",74
74.1,"LOW CERVICAL C-SECTION                        ",74.1
74.2,"EXTRAPERITONEAL C-SECT                        ",74.2
74.3,"REMOV INTRAPERIT FETUS                        ",74.3
74.4,"CESAREAN SECTION NEC                          ",74.4
74.91,"HYSTEROTOMY TO TERMIN PG                      ",74.91
74.99,"CESAREAN SECTION NOS                          ",74.99
75,"INTRA-AMNION INJ FOR AB                       ",75
75.1,"DIAGNOSTIC AMNIOCENTESIS                      ",75.1
75.2,"INTRAUTERINE TRANSFUSION                      ",75.2
75.31,"AMNIOSCOPY                                    ",75.31
75.32,"FETAL EKG                                     ",75.32
75.33,"FETAL BLOOD SAMPLE/BX                         ",75.33
75.34,"FETAL MONITORING NOS                          ",75.34
75.35,"DX PROC FETUS/AMNION NEC                      ",75.35
75.36,"CORRECTION FETAL DEFECT                       ",75.36
75.4,"MANUAL REMOVAL-PLACENTA                       ",75.4
75.5,"REPAIR OB LAC UTERUS NOS                      ",75.5
75.51,"REPAIR OB LACERAT CERVIX                      ",75.51
75.52,"REPAIR OB LAC CORP UTERI                      ",75.52
75.61,"REPAIR OB LAC BLAD/URETH                      ",75.61
75.62,"REPAIR OB LAC RECT/ANUS                       ",75.62
75.69,"REPAIR OB LACERATION NEC                      ",75.69
75.7,"MANUAL EXPLOR UTERUS P/P                      ",75.7
75.8,"OB TAMPONADE UTERUS/VAG                       ",75.8
75.91,"EVAC OB INC HEMAT PERIN                       ",75.91
75.92,"EVAC OB HEMAT VULVA/VAG                       ",75.92
75.93,"SURG CORR INVERT UTERUS                       ",75.93
75.94,"MAN REPLAC INVERT UTERUS                      ",75.94
75.99,"OBSTETRIC OPERATION NEC                       ",75.99
76.01,"FACIAL BONE SEQUESTRECT                       ",76.01
76.09,"FACIAL BONE INCISION NEC                      ",76.09
76.11,"FACIAL BONE BIOPSY                            ",76.11
76.19,"FACIAL BONE DX PROC NEC                       ",76.19
76.2,"DESTRUCT FACIAL BONE LES                      ",76.2
76.31,"PARTIAL MANDIBULECTOMY                        ",76.31
76.39,"PART FACIAL OSTECTOM NEC                      ",76.39
76.41,"TOT MANDIBULEC W RECONST                      ",76.41
76.42,"TOTAL MANDIBULECTOMY NEC                      ",76.42
76.43,"MANDIBULAR RECONST NEC                        ",76.43
76.44,"TOT FACE OSTECT W RECONS                      ",76.44
76.45,"TOT FACE BONE OSTECT NEC                      ",76.45
76.46,"FACIAL BONE RECONSTR NEC                      ",76.46
76.5,"TEMPOROMAND ARTHROPLASTY                      ",76.5
76.61,"CL OSTEOPLASTY MAND RAMI                      ",76.61
76.62,"OPEN OSTEOPLAS MAND RAMI                      ",76.62
76.63,"OSTEOPLASTY MANDIBLE BDY                      ",76.63
76.64,"MAND ORTHOGNATHIC OP NEC                      ",76.64
76.65,"SEG OSTEOPLASTY MAXILLA                       ",76.65
76.66,"TOT OSTEOPLASTY MAXILLA                       ",76.66
76.67,"REDUCTION GENIOPLASTY                         ",76.67
76.68,"AUGMENTATION GENIOPLASTY                      ",76.68
76.69,"FACIAL BONE REPAIR NEC                        ",76.69
76.7,"REDUCTION FACIAL FX NOS                       ",76.7
76.71,"CL REDUCT MALAR/ZYGO FX                       ",76.71
76.72,"OPN REDUCT MALAR/ZYGO FX                      ",76.72
76.73,"CL REDUCT MAXILLARY FX                        ",76.73
76.74,"OPEN REDUCT MAXILLARY FX                      ",76.74
76.75,"CL REDUCT MANDIBLE FX                         ",76.75
76.76,"OPEN REDUCT MANDIBLE FX                       ",76.76
76.77,"OPEN REDUCT ALVEOLAR FX                       ",76.77
76.78,"CL REDUCT FACIAL FX NEC                       ",76.78
76.79,"OPEN REDUCT FACE FX NEC                       ",76.79
76.91,"BONE GRAFT TO FACE BONE                       ",76.91
76.92,"SYN IMPLANT TO FACE BONE                      ",76.92
76.93,"CLOS REDUCT TM DISLOCAT                       ",76.93
76.94,"OPEN REDUCT TM DISLOCAT                       ",76.94
76.95,"TM MANIPULATION NEC                           ",76.95
76.96,"INJEC THERAP SBST TM JNT                      ",76.96
76.97,"REMOVE INT FIX FACE BONE                      ",76.97
76.99,"FACIAL BONE/JNT OP NEC                        ",76.99
77,"SEQUESTRECTOMY NOS                            ",77
77.01,"CHEST CAGE SEQUESTREC                         ",77.01
77.02,"HUMERUS SEQUESTRECTOMY                        ",77.02
77.03,"RADIUS & ULNA SEQUESTREC                      ",77.03
77.04,"METACARP/CARP SEQUESTREC                      ",77.04
77.05,"FEMORAL SEQUESTRECTOMY                        ",77.05
77.06,"PATELLAR SEQUESTRECTOMY                       ",77.06
77.07,"TIBIA/FIBULA SEQUESTREC                       ",77.07
77.08,"METATAR/TAR SEQUESTREC                        ",77.08
77.09,"SEQUESTRECTOMY NEC                            ",77.09
77.1,"OTHER BONE INCISION NOS                       ",77.1
77.11,"OTHER CHEST CAGE INCIS                        ",77.11
77.12,"OTHER HUMERUS INCISION                        ",77.12
77.13,"OTHER RADIUS/ULNA INCIS                       ",77.13
77.14,"OTH METACARP/CARP INCIS                       ",77.14
77.15,"OTHER FEMORAL INCISION                        ",77.15
77.16,"OTHER PATELLAR INCISION                       ",77.16
77.17,"OTHER TIBIA/FIBULA INCIS                      ",77.17
77.18,"OTH METATARS/TARS INCIS                       ",77.18
77.19,"BONE INCIS W/O DIV NEC                        ",77.19
77.2,"WEDGE OSTEOTOMY NOS                           ",77.2
77.21,"CHEST CAGE WEDG OSTEOTOM                      ",77.21
77.22,"HUMERUS WEDGE OSTEOTOMY                       ",77.22
77.23,"RADIUS/ULNA WEDG OSTEOTO                      ",77.23
77.24,"METACAR/CAR WEDG OSTEOTO                      ",77.24
77.25,"FEMORAL WEDGE OSTEOTOMY                       ",77.25
77.26,"PATELLAR WEDGE OSTEOTOMY                      ",77.26
77.27,"TIBIA/FIBUL WEDG OSTEOT                       ",77.27
77.28,"METATAR/TAR WEDG OSTEOT                       ",77.28
77.29,"WEDGE OSTEOTOMY NEC                           ",77.29
77.3,"OTHER BONE DIVISION NOS                       ",77.3
77.31,"CHEST CAGE BONE DIV NEC                       ",77.31
77.32,"HUMERUS DIVISION NEC                          ",77.32
77.33,"RADIUS/ULNA DIVISION NEC                      ",77.33
77.34,"METACAR/CAR DIVISION NEC                      ",77.34
77.35,"FEMORAL DIVISION NEC                          ",77.35
77.36,"PATELLAR DIVISION NEC                         ",77.36
77.37,"TIBIA/FIBULA DIV NEC                          ",77.37
77.38,"METATAR/TAR DIVISION NEC                      ",77.38
77.39,"BONE DIVISION NEC                             ",77.39
77.4,"BONE BIOPSY NOS                               ",77.4
77.41,"CHEST CAGE BONE BIOPSY                        ",77.41
77.42,"HUMERUS BIOPSY                                ",77.42
77.43,"RADIUS & ULNA BIOPSY                          ",77.43
77.44,"METACARPAL/CARPAL BIOPSY                      ",77.44
77.45,"FEMORAL BIOPSY                                ",77.45
77.46,"PATELLAR BIOPSY                               ",77.46
77.47,"TIBIA & FIBULA BIOPSY                         ",77.47
77.48,"METATARSAL/TARSAL BIOPSY                      ",77.48
77.49,"BONE BIOPSY NEC                               ",77.49
77.51,"BUNIONECT/SFT/OSTEOTOMY                       ",77.51
77.52,"BUNIONECT/SFT/ARTHRODES                       ",77.52
77.53,"OTH BUNIONECT W SFT CORR                      ",77.53
77.54,"BUNIONETTE EXCIS'N/RPAIR                      ",77.54
77.56,"HAMMER TOE REPAIR                             ",77.56
77.57,"CLAW TOE REPAIR                               ",77.57
77.58,"TOE EXCISN/RX/FUSION NEC                      ",77.58
77.59,"BUNIONECTOMY NEC                              ",77.59
77.6,"LOC EXC BONE LESION NOS                       ",77.6
77.61,"EXC CHEST CAGE BONE LES                       ",77.61
77.62,"LOC EXC BONE LES HUMERUS                      ",77.62
77.63,"LOC EXC LES RADIUS/ULNA                       ",77.63
77.64,"LOC EXC LES METACAR/CAR                       ",77.64
77.65,"LOC EXC BONE LES FEMUR                        ",77.65
77.66,"LOC EXC BONE LES PATELLA                      ",77.66
77.67,"LOC EXC LES TIBIA/FIBULA                      ",77.67
77.68,"LOC EXC LES METATAR/TAR                       ",77.68
77.69,"LOC EXC BONE LESION NEC                       ",77.69
77.7,"EXCISE BONE FOR GRFT NOS                      ",77.7
77.71,"EX CHEST CAGE BONE-GFT                        ",77.71
77.72,"EXCISE HUMERUS FOR GRAFT                      ",77.72
77.73,"EXCIS RADIUS/ULNA-GRAFT                       ",77.73
77.74,"EXCIS METACAR/CAR-GRAFT                       ",77.74
77.75,"EXCISE FEMUR FOR GRAFT                        ",77.75
77.76,"EXCISE PATELLA FOR GRAFT                      ",77.76
77.77,"EXCISE TIB/FIB FOR GRAFT                      ",77.77
77.78,"EXCIS METATAR/TAR-GRAFT                       ",77.78
77.79,"EXCISE BONE FOR GFT NEC                       ",77.79
77.8,"OTH PART OSTECTOMY NOS                        ",77.8
77.81,"OTH CHEST CAGE OSTECTOMY                      ",77.81
77.82,"PARTIAL HUMERECTOMY NEC                       ",77.82
77.83,"PART OSTECT-RADIUS/ULNA                       ",77.83
77.84,"PART OSTECT-METACAR/CAR                       ",77.84
77.85,"PART OSTECTOMY-FEMUR                          ",77.85
77.86,"PARTIAL PATELLECTOMY                          ",77.86
77.87,"PART OSTECT-TIBIA/FIBULA                      ",77.87
77.88,"PART OSTECT-METATAR/TAR                       ",77.88
77.89,"PARTIAL OSTECTOMY NEC                         ",77.89
77.9,"TOTAL OSTECTOMY NOS                           ",77.9
77.91,"TOT CHEST CAGE OSTECTOMY                      ",77.91
77.92,"TOTAL OSTECTOMY-HUMERUS                       ",77.92
77.93,"TOT OSTECT-RADIUS/ULNA                        ",77.93
77.94,"TOT OSTECT-METACARP/CARP                      ",77.94
77.95,"TOT OSTECTOMY-FEMUR                           ",77.95
77.96,"TOTAL PATELLECTOMY                            ",77.96
77.97,"TOT OSTECT-TIBIA/FIBULA                       ",77.97
77.98,"TOT OSTECT-METATARS/TARS                      ",77.98
77.99,"TOTAL OSTECTOMY NEC                           ",77.99
78,"BONE GRAFT NOS                                ",78
78.01,"BONE GRAFT TO CHEST CAGE                      ",78.01
78.02,"BONE GRAFT TO HUMERUS                         ",78.02
78.03,"BONE GRAFT-RADIUS/ULNA                        ",78.03
78.04,"BONE GRFT TO METACAR/CAR                      ",78.04
78.05,"BONE GRAFT TO FEMUR                           ",78.05
78.06,"BONE GRAFT TO PATELLA                         ",78.06
78.07,"BONE GRAFT-TIBIA/FIBULA                       ",78.07
78.08,"BONE GRAFT-METATAR/TAR                        ",78.08
78.09,"BONE GRAFT NEC                                ",78.09
78.1,"EXT FIXAT'N DEV-SITE NOS                      ",78.1
78.11,"EXT FIXAT'N DEV-CHEST CG                      ",78.11
78.12,"EXT FIXAT'N DEV-HUMERUS                       ",78.12
78.13,"EXT FIXAT'N DEV-RAD/ULNA                      ",78.13
78.14,"EXT FIX DEV-METACAR/CARP                      ",78.14
78.15,"EXT FIXATION DEV-FEMUR                        ",78.15
78.16,"EXT FIXATION DEV-PATELLA                      ",78.16
78.17,"EXT FIXATN DEV-TIBIA/FIB                      ",78.17
78.18,"EXT FIX DEV-METATAR/TARS                      ",78.18
78.19,"EXT FIXAT'N DEV-SITE NEC                      ",78.19
78.2,"SHORTENING OP-SITE NOS                        ",78.2
78.22,"SHORTENING OP-HUMERUS                         ",78.22
78.23,"SHORTENNG OP-RADIUS/ULNA                      ",78.23
78.24,"SHORTENING OP-CARP/METAC                      ",78.24
78.25,"SHORTENING OP-FEMUR                           ",78.25
78.27,"SHORTENNG OP-TIBIA/FIBUL                      ",78.27
78.28,"SHORTENING OP-TARS/METAT                      ",78.28
78.29,"SHORTENING OP-SITE NEC                        ",78.29
78.3,"LENGTHENING OP-SITE NOS                       ",78.3
78.32,"LENGTHENING OP-HUMERUS                        ",78.32
78.33,"LENGTHENING OP-RAD/ULNA                       ",78.33
78.34,"LENGTHENNG OP-CARP/METAC                      ",78.34
78.35,"LENGTHENING OP-FEMUR                          ",78.35
78.37,"LENGTHENING OP-TIBIA/FIB                      ",78.37
78.38,"LENGTHENNG OP-TARS/METAT                      ",78.38
78.39,"LENGTHENING OP-SITE NEC                       ",78.39
78.4,"OTHER BONE REPAIR NOS                         ",78.4
78.41,"OTHER CHEST CAGE REPAIR                       ",78.41
78.42,"OTHER HUMERUS REPAIR                          ",78.42
78.43,"OTHER RADIUS/ULNA REPAIR                      ",78.43
78.44,"OTHER METACAR/CAR REPAIR                      ",78.44
78.45,"OTHER REPAIR-FEMUR                            ",78.45
78.46,"OTHER PATELLAR REPAIR                         ",78.46
78.47,"OTH TIBIA/FIBULA REPAIR                       ",78.47
78.48,"OTHER METATAR/TAR REPAIR                      ",78.48
78.49,"OTHER BONE REPAIR NEC                         ",78.49
78.5,"INT FIX W/O FX REDUC NOS                      ",78.5
78.51,"INT FIXATION-CHEST CAGE                       ",78.51
78.52,"INT FIXATION-HUMERUS                          ",78.52
78.53,"INT FIXATION-RADIUS/ULNA                      ",78.53
78.54,"INT FIXATION-METACAR/CAR                      ",78.54
78.55,"INTERNAL FIXATION-FEMUR                       ",78.55
78.56,"INTERNAL FIX-PATELLA                          ",78.56
78.57,"INT FIXATION-TIBIA/FIBUL                      ",78.57
78.58,"INT FIXATION-METATAR/TAR                      ",78.58
78.59,"INT FIX-NO FX REDUCT NEC                      ",78.59
78.6,"REMOVE IMPLTD DEVICE NOS                      ",78.6
78.61,"REM IMPLT DEV-CHEST CAGE                      ",78.61
78.62,"REMOVE IMPL DEV HUMERUS                       ",78.62
78.63,"REM IMPLT DEV-RADIUS/ULN                      ",78.63
78.64,"REM IMPL DEV METAC/CARP                       ",78.64
78.65,"REMOV IMPLANTD DEV-FEMUR                      ",78.65
78.66,"REMOV IMPL DEV-PATELLA                        ",78.66
78.67,"REMOV IMPLNTD DEV TIB/FI                      ",78.67
78.68,"REM IMPL DEV METAT/TAR                        ",78.68
78.69,"REMOVE IMPLNTD DEVIC NEC                      ",78.69
78.7,"OSTEOCLASIS NOS                               ",78.7
78.71,"OSTEOCLASIS-CHEST CAGE                        ",78.71
78.72,"OSTEOCLASIS-HUMERUS                           ",78.72
78.73,"OSTEOCLASIS-RADIUS/ULNA                       ",78.73
78.74,"OSTEOCLASIS-METACAR/CAR                       ",78.74
78.75,"OSTEOCLASIS-FEMUR                             ",78.75
78.76,"OSTEOCLASIS-PATELLA                           ",78.76
78.77,"OSTEOCLASIS-TIBIA/FIBULA                      ",78.77
78.78,"OSTEOCLASIS-METATAR/TAR                       ",78.78
78.79,"OSTEOCLASIS NEC                               ",78.79
78.8,"OTHER BONE DX PROC NOS                        ",78.8
78.81,"OTH DX PROCED-CHEST CAGE                      ",78.81
78.82,"OTH DX PROCED-HUMERUS                         ",78.82
78.83,"OTH DX PROC-RADIUS/ULNA                       ",78.83
78.84,"OTH DX PROC-METACAR/CAR                       ",78.84
78.85,"OTH DX PROCED-FEMUR                           ",78.85
78.86,"OTH DX PROCED-PATELLA                         ",78.86
78.87,"OTH DX PROC-TIBIA/FIBULA                      ",78.87
78.88,"OTH DX PROC-METATAR/TAR                       ",78.88
78.89,"OTHER BONE DX PROC NEC                        ",78.89
78.9,"INSERT BONE STIMULAT NOS                      ",78.9
78.91,"INSERT BONE STIMUL-CHEST                      ",78.91
78.92,"INSERT BONE STIM-HUMERUS                      ",78.92
78.93,"INSRT BONE STIM-RAD/ULNA                      ",78.93
78.94,"INSERT BONE STIM-WRIST                        ",78.94
78.95,"INSERT BONE STIM-FEMUR                        ",78.95
78.96,"INSERT BONE STIM-PATELLA                      ",78.96
78.97,"INSERT BONE STIM-LOW LEG                      ",78.97
